,date,url,text
01,1/2/17,Washington Nationals signed free agent LHPStone Speerto a minor league contract.
01,1/2/17,Washington Nationals signed free agent LHPStone Speerto a minor league contract.
01,1/11/17,Washington Nationals signed free agent 3BAlex Santanato a minor league contract.
01,1/11/17,Washington Nationals signed free agent 3BAlex Santanato a minor league contract.
01,1/12/17,Washington Nationals signed free agent 3BIrving Faluto a minor league contract.
01,1/12/17,Washington Nationals signed free agent 3BIrving Faluto a minor league contract.
01,1/26/17,Washington Nationals signed free agent 2BStephen Drew.
01,1/26/17,Washington Nationals signed free agent 2BStephen Drew.
01,1/27/17,Washington Nationals signed free agent 2BGrant Greento a minor league contract and invited him to spring training.
01,1/27/17,Washington Nationals signed free agent 2BGrant Greento a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPJoe Nathanto a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPJoe Nathanto a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPMatt Albersto a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPMatt Albersto a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPVance Worleyto a minor league contract and invited him to spring training.
01,1/31/17,Washington Nationals signed free agent RHPVance Worleyto a minor league contract and invited him to spring training.
02,2/7/17,Tampa Bay Rays traded LHPEnny Romeroto Washington Nationals for RHP Jeffrey Rosa.
02,2/7/17,Tampa Bay Rays traded LHPEnny Romeroto Washington Nationals for RHP Jeffrey Rosa.
02,2/7/17,Tampa Bay Rays traded LHP Enny Romero to Washington Nationals for RHPJeffrey Rosa.
02,2/7/17,Tampa Bay Rays traded LHP Enny Romero to Washington Nationals for RHPJeffrey Rosa.
02,2/11/17,Washington Nationals invited non-roster RHPWander Sueroto spring training.
02,2/11/17,Washington Nationals invited non-roster RHPWander Sueroto spring training.
02,2/11/17,Washington Nationals invited non-roster RHPTaylor Hillto spring training.
02,2/11/17,Washington Nationals invited non-roster RHPTaylor Hillto spring training.
02,2/11/17,Washington Nationals invited non-roster LHPNick Leeto spring training.
02,2/11/17,Washington Nationals invited non-roster LHPNick Leeto spring training.
02,2/11/17,Washington Nationals invited non-roster 1BNeftali Sototo spring training.
02,2/11/17,Washington Nationals invited non-roster 1BNeftali Sototo spring training.
02,2/11/17,Washington Nationals invited non-roster RHPErick Feddeto spring training.
02,2/11/17,Washington Nationals invited non-roster RHPErick Feddeto spring training.
02,2/11/17,Washington Nationals invited non-roster 3BDrew Wardto spring training.
02,2/11/17,Washington Nationals invited non-roster 3BDrew Wardto spring training.
